"","village","year","cgvo","l_subsidy_rate","l_poor_housing_rate","l_poor_reg_rate","l_disability_rate","district","precipitation","temperature"
"1",1,2000,0,2.62466859817505,NA,1.06427407264709,NA,13,0.00291399999242276,58.4997267759563
"2",1,2001,0,2.67656183242798,4.09633445739746,1.16354382038116,NA,13,0.00195399998445064,59.0273972602739
"3",1,2002,0,2.56273674964905,4.04260969161987,1.06014597415924,NA,13,0.00150500001497567,58.0096685082873
"4",1,2003,0,2.55906200408936,4.00320816040039,1.06014597415924,0.951590359210968,13,0.00339499998185784,56.2267217630854
"5",1,2004,0,2.55906200408936,3.95927977561951,1.0622056722641,0.951590359210968,13,0.00264399997834116,57.5527472527472
"6",1,2005,0,2.34934210777283,3.91303515434265,1.06427407264709,0.947703659534454,13,0.00224699997548014,57.5712328767123
"7",1,2006,0,2.34862780570984,3.87710738182068,1.0705326795578,0.947220265865326,13,0.00184299999959767,58.4315068493151
"8",1,2007,0,2.25901508331299,3.7089741230011,0.662914156913757,1.58864653110504,13,0.00196499999761581,58.2486263736264
"9",1,2008,0,2.25901508331299,3.7089741230011,0.662914156913757,1.58864653110504,13,0.00201899999454618,57.9265027322404
"10",1,2009,0,2.33939909934998,3.64157032966614,0.80575692653656,1.73827075958252,13,0.00303500001654029,57.3316666666666
"11",1,2010,0,2.84209656715393,3.33395934104919,1.45364654064178,1.77761495113373,13,0.00248000001423061,57.1906849315068
"12",1,2011,0,3.22835993766785,3.21844434738159,1.44326555728912,1.76603901386261,13,0.0023750000057742,57.2334246575342
"13",2,2000,0,3.27677464485168,NA,1.08762323856354,NA,13,0.00151499997805804,47.6210382513661
"14",2,2001,0,2.74399518966675,4.47603178024292,0,NA,13,0.00276699997708201,47.8915068493151
"15",2,2002,0,3.09526085853577,4.53752279281616,0.504246652126312,NA,13,0.00169599998872727,48.4486263736264
"16",2,2003,0,NA,4.55387687683105,2.15948438644409,2.77229571342468,13,0.00205099998600781,48.0225274725275
"17",2,2005,0,NA,4.54683446884155,1.60943794250488,2.76181483268738,13,0.00261400001142174,46.4578082191781
"18",2,2006,0,1.98023223876953,4.45226860046387,1.12601137161255,2.53344178199768,13,0.00182199999485165,47.9821917808219
"19",2,2007,0,NA,4.18070220947266,0.904456257820129,2.52445578575134,13,0.00235500001162291,48.5442307692308
"20",2,2008,0,NA,4.18070220947266,0.904456257820129,2.52445578575134,13,0.00214499998651445,47.5079234972678
"21",2,2009,1,NA,4.23823881149292,0.998528778553009,2.48476576805115,13,0.00151300001461059,47.6030136986301
"22",2,2010,1,NA,4.18644857406616,1.65352213382721,2.48012518882751,13,0.00293900002334267,45.7172602739726
"23",3,2000,0,5.34016513824463,NA,2.95741629600525,NA,13,0.00177299999203533,48.6745901639344
"24",3,2001,0,5.34071207046509,3.91383957862854,2.85437822341919,NA,13,0.00158100000228733,49.9202739726027
"25",3,2002,0,5.33604145050049,3.93182563781738,2.80060172080994,NA,13,0.00180299999061972,50.3252747252747
"26",3,2003,0,3.81614565849304,4.04988718032837,2.65027236938477,2.92479801177979,13,0.00176200000215322,48.6284931506849
"27",3,2004,0,3.86998510360718,4.07255506515503,2.65027236938477,2.93284249305725,13,0.00207399999089539,49.2292349726776
"28",3,2005,0,3.2983546257019,4.09830474853516,1.57059812545776,2.94983625411987,13,0.00159699999503791,48.3180821917809
"29",3,2006,0,3.26376986503601,4.22378778457642,1.64222776889801,2.9699592590332,13,0.00140900001060218,49.6753424657534
"30",3,2007,0,3.81833410263062,4.22570419311523,1.5499724149704,3.16300415992737,13,0.00169700000062585,50.9164835164835
"31",3,2008,0,3.81833410263062,4.22570419311523,1.5499724149704,3.16300415992737,13,0.00207699998971075,48.9680327868852
